,FIRST,LAST,Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,datenbankart,LEBENDIG,AGE
21,Theodore876,Marquardt819,cff3557c-258c-5770-76c5-b8b4a87dacb4,1936-11-26 00:00:00.000000,2023-02-15 14:31:59.426314,999-46-4528,S99994242,X67425240X,Mr.,,,S,white,nonhispanic,M,Tewksbury  Massachusetts  US,443 Schmitt Fork,Brockton,Massachusetts,Plymouth County,2351.0,42.050444268654445,-71.0120754027189,313320.0,12174.25,asthma,lebend,87
22,Isaias604,Witting912,c7610cfc-5c64-751a-4fc9-aff51840acf2,1940-11-03 00:00:00.000000,2023-02-15 14:31:59.426314,999-49-5472,S99921972,X83879900X,Mr.,,,M,white,nonhispanic,M,Brookfield  Massachusetts  US,515 Flatley Mill Apt 40,Quincy,Massachusetts,Norfolk County,2171.0,42.28387121623683,-71.01373148724677,1531400.0,11943.64,asthma,lebend,83
23,Kieth891,Kertzmann286,cb4daeb7-1fd5-9468-b763-312b8340b3a4,1959-04-08 00:00:00.000000,2023-02-15 14:31:59.426314,999-86-2659,S99989433,X84407117X,Mr.,,,M,white,nonhispanic,M,North Attleborough  Massachusetts  US,753 Kiehn Knoll Suite 61,New Bedford,Massachusetts,Bristol County,2746.0,41.54589116346014,-70.99180491712269,1336650.0,3737.16,asthma,lebend,64
24,An125,Hickle134,31120636-7e14-0c07-8d1a-8307bec3021c,1967-04-02 00:00:00.000000,2023-02-15 14:31:59.426314,999-85-4368,S99930157,X35245099X,Mrs.,,Jacobson885,M,white,nonhispanic,F,Oxford  Massachusetts  US,468 Lebsack Way Unit 97,Belchertown,Massachusetts,Hampshire County,1007.0,42.31839150914623,-72.39458832219184,1420870.0,3683.88,asthma,lebend,56
25,Eric487,Ankunding277,08c18159-ea88-7a13-b8c8-f91cf7e878ba,1936-09-11 00:00:00.000000,2023-02-15 14:31:59.426314,999-60-2852,S99938555,X40771234X,Ms.,,,S,white,nonhispanic,F,Saugus  Massachusetts  US,293 Johns Glen Suite 86,Warren,Massachusetts,Worcester County,1083.0,42.24747288856833,-72.20936058355024,64884.64,2294.04,asthma,lebend,87
26,Joesph309,Brown30,c471181e-2cd9-40de-09bc-b0953b0b4414,1954-07-18 00:00:00.000000,2023-02-15 14:31:59.426314,999-15-3974,S99952936,X57241398X,Mr.,,,M,white,nonhispanic,M,Williamsburg  Massachusetts  US,333 Zieme Crossroad,Lynn,Massachusetts,Essex County,1940.0,42.53624873123779,-71.04591517473537,1724705.0,4977.96,asthma,lebend,69
27,Iona921,Harvey63,b5ef77b1-57dd-65db-2632-4b4f9c3bca5e,2014-01-21 00:00:00.000000,2023-02-15 14:31:59.426314,999-84-1177,,,,,,,white,nonhispanic,F,Beverly  Massachusetts  US,662 Trantow Approach,Framingham,Massachusetts,Middlesex County,1701.0,42.33586566240251,-71.40560248136225,168000.0,1937.4,asthma,lebend,9
28,See995,Rolfson709,53e84679-55d8-cb77-dd1f-edbae5ecf9da,1970-05-14 00:00:00.000000,2023-02-15 14:31:59.426314,999-57-5598,S99963332,X78995893X,Mrs.,,Yost751,M,black,nonhispanic,F,Bridgewater  Massachusetts  US,446 Wolff Boulevard Apt 64,Acton,Massachusetts,Middlesex County,,42.46420757958517,-71.4515311617194,1278780.0,3186.4,asthma,lebend,53
29,Curtis94,Nicolas769,132641ae-4b53-8dc7-982a-40e1475ed98b,2012-10-19 00:00:00.000000,2023-02-15 14:31:59.426314,999-66-4342,,,,,,,white,nonhispanic,M,Boston  Massachusetts  US,511 Rippin Ville Unit 81,Millis,Massachusetts,Norfolk County,,42.13539529472588,-71.32629576479151,217800.0,2195.72,asthma,lebend,11
30,Ana María762,Longoria249,45a589ee-ce29-978d-4132-e475c50a738c,2006-06-01 00:00:00.000000,2023-02-15 14:31:59.426314,999-55-9702,,,,,,,white,hispanic,F,Caracas  Capital District  VE,1095 Bartell Frontage road Unit 98,Holden,Massachusetts,Worcester County,,42.37387137716151,-71.85772414122965,332500.0,2970.68,asthma,lebend,17
31,Clyde817,Bernier607,d0c733b5-0e7d-65f6-af72-a0a209e60d50,1979-10-29 00:00:00.000000,2023-02-15 14:31:59.426314,999-24-8865,S99964011,X75452854X,Mr.,,,M,white,nonhispanic,M,Amesbury  Massachusetts  US,438 Gleichner Forge,Brockton,Massachusetts,Plymouth County,2351.0,42.08797793087279,-71.0617312267235,941857.98,3030.53,asthma,lebend,44
32,Aurelio227,Gutmann970,aada0713-482e-515c-a827-30a7436c037e,1939-03-28 00:00:00.000000,2023-02-15 14:31:59.426314,999-15-5958,S99945479,X60712230X,Mr.,,,M,white,nonhispanic,M,Arlington  Massachusetts  US,810 Wiegand Forge,Plymouth,Massachusetts,Plymouth County,2360.0,41.87189818160719,-70.61020333351935,1380650.0,4770.36,asthma,lebend,84
33,Herschel574,Tremblay80,a76f5e8a-a639-f913-a3e4-582ed72b6c82,1991-03-14 00:00:00.000000,2023-02-15 14:31:59.426314,999-85-1861,S99990956,X84443540X,Mr.,,,M,white,nonhispanic,M,Yarmouth  Massachusetts  US,1051 Pollich Fort,Medford,Massachusetts,Middlesex County,2155.0,42.44065546104698,-71.10331446333385,90880.0,2623.96,asthma,lebend,32
34,Víctor493,Caldera106,8db3bdf1-f2eb-bd1b-2389-d9508a08ff09,1985-05-22 00:00:00.000000,2023-02-15 14:31:59.426314,999-48-5847,S99946860,X65686768X,Mr.,,,M,white,hispanic,M,La Paz  Baja California  MX,847 Mante Fork Unit 5,Westfield,Massachusetts,Hampden County,1085.0,42.1186923247092,-72.78239988658395,943140.0,2722.28,asthma,lebend,38
35,Eugenio846,Wolff180,3e0b7ebb-d418-3cc6-5d84-37cd42bce4fd,1940-08-20 00:00:00.000000,2023-02-15 14:31:59.426314,999-27-6494,S99967766,X51838495X,Mr.,,,S,white,nonhispanic,M,Clarksburg  Massachusetts  US,189 Tillman Corner,Foxborough,Massachusetts,Norfolk County,2035.0,42.02101572741199,-71.27078610419457,1378060.0,4552.04,asthma,lebend,83
36,German382,Toy286,d1a0ad48-ac75-09c9-bc17-f293ce2d0063,2013-04-24 00:00:00.000000,2023-02-15 14:31:59.426314,999-28-1734,,,,,,,white,nonhispanic,M,Hull  Massachusetts  US,867 Dooley Street Apt 12,Brockton,Massachusetts,Plymouth County,2302.0,42.12220349712746,-71.05939467740849,156400.0,2066.56,asthma,lebend,10
37,Christy428,Streich926,4464267b-3634-7877-8683-45c170bc37a7,1980-08-29 00:00:00.000000,2023-02-15 14:31:59.426314,999-52-5614,S99932627,X88471113X,Mrs.,,Prosacco716,M,white,nonhispanic,F,Newton  Massachusetts  US,157 Parker Mall,Scituate,Massachusetts,Plymouth County,,42.24918799831759,-70.75804955895012,1018200.0,2720.6,asthma,lebend,43
38,Salome647,Zboncak558,ada8e94c-7cbd-b7d5-b63f-85284b7aaca8,1997-12-10 00:00:00.000000,2023-02-15 14:31:59.426314,999-77-1731,S99924070,X10889146X,Ms.,,,,white,nonhispanic,F,Barnstable  Massachusetts  US,625 Kilback Crossroad,Malden,Massachusetts,Middlesex County,,42.44530625715509,-71.01470801770776,610335.0,2810.64,asthma,lebend,26
39,Darrin898,Keeling57,d681090c-4058-2f41-2404-af7f3ce16326,2000-12-20 00:00:00.000000,2023-02-15 14:31:59.426314,999-60-5917,S99962460,,Mr.,,,,white,nonhispanic,M,North Andover  Massachusetts  US,457 Doyle Estate Apt 48,Lowell,Massachusetts,Middlesex County,1851.0,42.61101998032184,-71.27226329487948,410820.0,2496.48,asthma,lebend,23
40,Damon455,Bayer639,395d26f3-c752-2e15-80dd-280759a78054,1997-05-08 00:00:00.000000,2023-02-15 14:31:59.426314,999-56-7432,S99982831,X77614562X,Mr.,,,,white,nonhispanic,M,Westborough  Massachusetts  US,538 Luettgen Mall Unit 3,Auburn,Massachusetts,Worcester County,,42.16089465475961,-71.8077344886919,512475.0,2470.64,asthma,lebend,26
41,Christine147,Kovacek682,5c76db01-d359-016f-5d2b-496903162b8d,2018-01-12 00:00:00.000000,2023-02-15 14:31:59.426314,999-33-4101,,,,,,,white,nonhispanic,F,Yarmouth  Massachusetts  US,139 Lebsack Esplanade Apt 11,Marshfield,Massachusetts,Plymouth County,2050.0,42.16394169398168,-70.72323228014073,61200.0,1291.6,asthma,lebend,5
42,Lucas404,Cummerata161,682a3b46-e530-1fc8-0835-e19a9038392b,1958-01-25 00:00:00.000000,2023-02-15 14:31:59.426314,999-28-6772,S99974753,X55619123X,Mr.,,,M,white,nonhispanic,M,Milton  Massachusetts  US,411 Volkman Alley,West Springfield,Massachusetts,Hampden County,1089.0,42.16403238193655,-72.6214149785045,22466.32,0.0,asthma,lebend,65
43,Jesus702,Nienow652,6f24f09b-fa33-ec2b-138f-4e049f2a9370,1982-12-31 00:00:00.000000,2023-02-15 14:31:59.426314,999-43-2692,S99916534,X56702239X,Mr.,,,S,white,nonhispanic,M,Lynn  Massachusetts  US,506 Kunze Divide Unit 60,Needham,Massachusetts,Norfolk County,2494.0,42.30415998061503,-71.22328834493605,913885.0,2506.44,asthma,lebend,41
44,Quentin28,Abernathy524,ae3a67e2-ff81-5dea-539a-64eeff599a5d,1997-02-11 00:00:00.000000,2023-02-15 14:31:59.426314,999-75-3730,S99975109,X50172221X,Mr.,,,,white,hispanic,M,Medford  Massachusetts  US,415 Nader Road Suite 28,Malden,Massachusetts,Middlesex County,2155.0,42.44918626466056,-71.04473344882669,517875.0,2470.64,asthma,lebend,26
45,Bob965,Bruen238,926380cf-957b-2864-d990-2ed5dbe226a8,1999-07-05 00:00:00.000000,2023-02-15 14:31:59.426314,999-96-9833,S99998226,X51796518X,Mr.,,,,white,nonhispanic,M,Methuen  Massachusetts  US,265 Kreiger Brook Apt 78,Pittsfield,Massachusetts,Berkshire County,1201.0,42.42299026156357,-73.2521779874532,64615.8,2250.68,asthma,lebend,24
46,Jeffery551,Kunde533,f68f57dc-d4cc-ad3b-dc5a-0f68701e443d,1963-01-09 00:00:00.000000,2023-02-15 14:31:59.426314,999-21-2618,S99963022,X56606371X,Mr.,,,M,black,nonhispanic,M,Boston  Massachusetts  US,871 Mohr Passage Unit 18,Boston,Massachusetts,Suffolk County,,42.357659159699686,-71.13339892163066,1255500.0,3370.52,asthma,lebend,60
47,Sharri659,Hahn503,db32d4a8-69b6-90e1-f526-aa11d7b415e4,1976-03-02 00:00:00.000000,2023-02-15 14:31:59.426314,999-47-2153,S99990716,X59944547X,Mrs.,,Mosciski958,M,black,nonhispanic,F,Bedford  Massachusetts  US,667 Davis Street,Springfield,Massachusetts,Hampden County,1151.0,42.20351515677152,-72.5616908608562,136360.0,2918.92,asthma,lebend,47
48,Angel97,Bergnaum523,83cc8e7a-e30c-4f09-8770-8cb2bcae1340,1977-07-12 00:00:00.000000,2023-02-15 14:31:59.426314,999-34-1378,S99971280,X60271069X,Mr.,PhD,,M,white,nonhispanic,M,Melrose  Massachusetts  US,383 Bins Mall Apt 73,Woburn,Massachusetts,Middlesex County,1801.0,42.43642133791916,-71.10959608206008,1098060.0,2789.76,asthma,lebend,46
49,Jacobo456,Deleón21,68909953-e0f8-ffdc-cec1-9a12f624b279,1962-09-24 00:00:00.000000,2023-02-15 14:31:59.426314,999-30-1022,S99911797,X12537389X,Mr.,,,M,white,hispanic,M,Kingston  Kingston  JM,733 Okuneva Track,Agawam,Massachusetts,Hampden County,,42.02150556656342,-72.6835614363586,1191180.0,3319.68,asthma,lebend,61
50,Caridad510,Carrero892,0c627f48-15c0-d46e-30a3-9fd7cd9ca773,1977-11-23 00:00:00.000000,2023-02-15 14:31:59.426314,999-38-5668,S99920250,X20744782X,Mrs.,,Nava670,M,white,hispanic,F,Bayamon  Puerto Rico  PR,301 Grady Mall,Rowley,Massachusetts,Essex County,1969.0,42.7420121660389,-70.92111031728928,1037950.0,2699.76,asthma,lebend,46
51,Allene83,Cassin499,c7041614-d406-e5d4-b7e3-243f01f670dd,2020-03-25 00:00:00.000000,2023-02-15 14:31:59.426314,999-21-4075,,,,,,,white,nonhispanic,F,Billerica  Massachusetts  US,161 Kilback Row Unit 33,Lynn,Massachusetts,Essex County,1940.0,42.50638204400661,-71.06872266319833,15300.0,645.8,asthma,lebend,3
52,Muriel394,Paucek755,223d94f3-18a1-6df8-a755-48dd7244c0dd,1998-07-21 00:00:00.000000,2023-02-15 14:31:59.426314,999-30-8126,S99952919,X10344151X,Ms.,,,,white,nonhispanic,F,Upton  Massachusetts  US,163 Parker Lane,Spencer,Massachusetts,Worcester County,,42.26575006695074,-71.94224272470076,567960.0,2785.64,asthma,lebend,25
53,Chase54,Leuschke194,b30d7771-1b5c-0201-63ba-0ed39be1a6ed,1985-11-27 00:00:00.000000,2023-02-15 14:31:59.426314,999-63-4963,S99918544,X88431732X,Mr.,,,M,white,nonhispanic,M,Millis  Massachusetts  US,479 D'Amore Throughway Apt 20,Waltham,Massachusetts,Middlesex County,2451.0,42.359533872447486,-71.25240449188522,717940.0,2022.28,asthma,lebend,38
54,Shonda871,Lemke654,cd862ddf-8cf4-ec95-067a-da02498dcb29,2018-07-15 00:00:00.000000,2023-02-15 14:31:59.426314,999-82-2927,,,,,,,white,nonhispanic,F,Malden  Massachusetts  US,562 Quigley Overpass Suite 8,New Bedford,Massachusetts,Bristol County,2744.0,41.695066077809805,-70.96812299087789,60000.0,1162.44,asthma,lebend,5
55,Lorita217,Kling921,a4bb69bf-a2c7-ce05-d95b-06ff94840dc9,1990-08-30 00:00:00.000000,2023-02-15 14:31:59.426314,999-68-5226,S99918051,X66109386X,Mrs.,,Gleason633,M,white,nonhispanic,F,Lynn  Massachusetts  US,691 Pfeffer Wynd Unit 33,Taunton,Massachusetts,Bristol County,2780.0,41.93651092146187,-71.12317607543042,765840.0,2563.96,asthma,lebend,33
56,Lawerence6,Brakus656,60742be8-1e73-4a8b-9c8d-19d9ee177cde,2002-12-19 00:00:00.000000,2023-02-15 14:31:59.426314,999-77-6340,S99918047,,,,,,white,nonhispanic,M,Southbridge  Massachusetts  US,480 Gulgowski Frontage road,Bridgewater,Massachusetts,Plymouth County,,41.95295201671041,-70.98193158356251,413070.0,2588.16,asthma,lebend,21
57,Darryl392,Schroeder447,194a158b-f3e9-6368-c524-01f84f69c3eb,1965-11-20 00:00:00.000000,2023-02-15 14:31:59.426314,999-63-3619,S99925078,X60306734X,Mr.,,,M,white,nonhispanic,M,Revere  Massachusetts  US,198 Trantow Crossroad,Southwick,Massachusetts,Hampden County,,42.00503531635553,-72.81048848676552,1194225.0,3058.04,asthma,lebend,58
58,Vivan376,Boyer713,0491d19d-fb56-60c4-a49f-4ce5152125f9,1981-12-28 00:00:00.000000,2023-02-15 14:31:59.426314,999-60-5510,S99971025,X12319376X,Ms.,,,S,white,nonhispanic,F,Hamburg  Hamburg  DE,448 Schroeder Ranch,Millville,Massachusetts,Worcester County,,41.99537013831771,-71.55598859800986,844575.0,2216.44,asthma,lebend,42
59,David908,Leffler128,58c719ba-7545-17f3-1228-0e5887abbbba,1976-05-25 00:00:00.000000,2023-02-15 14:31:59.426314,999-99-1183,S99924898,X68865267X,Mr.,,,S,white,nonhispanic,M,Winchester  Massachusetts  US,253 Sanford Way,Walpole,Massachusetts,Norfolk County,,42.12916620814052,-71.2752370064723,1125360.0,2918.92,asthma,lebend,47
60,Gavin481,Schultz619,04e62bfb-ac37-2836-a816-c1f8dc69c222,1960-04-21 00:00:00.000000,2023-02-15 14:31:59.426314,999-12-6534,S99970158,X2664790X,Mr.,,,M,white,nonhispanic,M,Norwell  Massachusetts  US,183 Daugherty Underpass,Dunstable,Massachusetts,Middlesex County,,42.68055046908285,-71.45710112784818,1605835.0,4423.0,asthma,lebend,63
61,Mellisa81,O'Kon634,a959fd0b-34a9-764c-6fbe-294f25c1de83,1945-05-15 00:00:00.000000,2023-02-15 14:31:59.426314,999-58-6857,S99962571,X6730172X,Mrs.,,Mante251,M,white,nonhispanic,F,Brockton  Massachusetts  US,310 McLaughlin Plaza Suite 18,Plymouth,Massachusetts,Plymouth County,2360.0,41.84031172369308,-70.64254986166218,1674911.62,11864.77,asthma,lebend,78
62,Lonny638,Will178,2c50d136-471e-7cf3-578d-d000c8e257c1,1981-03-08 00:00:00.000000,2023-02-15 14:31:59.426314,999-15-3930,S99946295,X42923983X,Mr.,,,M,white,nonhispanic,M,Whately  Massachusetts  US,970 Wyman Pathway Apt 96,Dennis,Massachusetts,Barnstable County,2638.0,41.73899504736313,-70.17590553538854,121240.0,2651.44,asthma,lebend,42
63,Graciela518,Espinosa298,0a05948f-a382-9ff2-bf4e-9de396e5f6d2,1992-12-13 00:00:00.000000,2023-02-15 14:31:59.426314,999-20-7778,S99966460,X69874147X,Mrs.,,Baeza53,M,white,hispanic,F,San Jose  San Jose  CR,559 Heaney Key Apt 16,Barre,Massachusetts,Worcester County,1005.0,42.4087342819514,-72.08696108986344,574580.0,2194.8,asthma,lebend,31
64,Gerry91,Grimes165,14ba0647-0dec-f4fd-624c-e6f9b37dac22,1967-07-21 00:00:00.000000,2023-02-15 14:31:59.426314,999-81-6134,S99990875,X75093996X,Mrs.,,Wiza601,M,white,nonhispanic,F,Norwood  Massachusetts  US,384 Brakus Course,Montague,Massachusetts,Franklin County,,42.60107101434242,-72.4878310597777,1350240.0,3513.88,asthma,lebend,56
65,Sid118,Gerlach374,ab2ce962-0b1f-b5a6-0bab-92afed7ecdaf,1969-12-23 00:00:00.000000,2023-02-15 14:31:59.426314,999-62-1931,S99961954,X44660454X,Mr.,,,M,white,nonhispanic,M,Millbury  Massachusetts  US,312 Moore Vale,Brookline,Massachusetts,Norfolk County,2445.0,42.36895590981487,-71.09888662576849,155230.0,3315.56,asthma,lebend,54
66,Charleen536,Lindgren255,581f9c2d-9cc0-8886-0996-fbc0daad610f,1920-12-09 00:00:00.000000,2010-01-07 00:00:00.000000,999-85-6858,S99928292,X26831082X,Mrs.,,Hansen121,M,white,nonhispanic,F,Springfield  Massachusetts  US,779 Harris Bridge,Walpole,Massachusetts,Norfolk County,,42.14970508597327,-71.26074035560357,80273.8,9003.830000000002,asthma,tod,90
67,Joette227,Gleichner915,7e310532-c282-260a-b4f1-bc4f891a2029,2010-09-15 00:00:00.000000,2023-02-15 14:31:59.426314,999-83-3986,,,,,,,white,nonhispanic,F,Salem  Massachusetts  US,910 Feest Extension Apt 90,Shrewsbury,Massachusetts,Worcester County,,42.288698908577466,-71.68525715410657,210800.0,2454.04,asthma,lebend,13
68,Rich940,Bashirian201,ebb11127-2a09-5a4b-80f5-03f50b7fab3a,1980-07-02 00:00:00.000000,2023-02-15 14:31:59.426314,999-95-3647,S99926850,X54607739X,Mr.,,,M,white,hispanic,M,Westport  Massachusetts  US,687 Durgan Trafficway,Boston,Massachusetts,Suffolk County,2215.0,42.331459398664606,-71.08473708646798,4520.599999999999,0.0,asthma,lebend,43
